Column1,Column2
Nunca llegó,N
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P
Llevó otro cliente,N
Nunca llegó,N
"Todo está excelente con el señor, pero deberían especificar si es camión o camioneta ya que yo solicite una camioneta pero me llego un camión muy mal servicio de su parte el no especificar. De ahí el señor muy amable y cordial.Atento y cordial, Viaje agradable",P
Ningún  ,N
Viaje agradable,P
Puntualidad,NEU
Muy bien recuerda que la puntualidad es el éxito  ,P
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P
.................$$:!.$,NEU
Nunca llegó,N
El ChucCanceló solicitud,N
Exelente ,P
Cancelada por Call Center.,N
Bien ,P
No llego,N
Actitud desagradable,N
Puntualidad,NEU
"Atento y cordial, Viaje agradable",P
"Viaje agradable, Atento y cordial, Puntualidad",P
"Atento y cordial, Viaje agradable",P
Canceló solicitud,N
A tiempo,P
Buena ,P
Nunca llegó,N
Muy buena  ,P
Ya no lo ocupo,NEU
Fue error,NEU
Estaba de apresuró aborde otra unidad,NEU
Ok ,P
Me tuvo esperando,N
Viaje agradable,P
"Atento y cordial, Viaje agradable, Puntualidad",P
Viaje agradable,P
No lo pude localizar,N
Gracias,P
Ya conseguí uno,NEU
Atento y cordial,P
Cobro una suma excesiva por su propia equivocaciónActitud desagradable,N
Nunca llegó ,N
Atento y cordial,P
Puntualidad,NEU
Cancelada por Call Center.,N
Buena,P
Nunca llegó,N
El señor cobra más de la cuenta me quiere cobrar 4.50 de la ciudadela de los medicos a la entrada de Ricaurte que horror Actitud desagradable,N
Si llego y me trajo al lugar que le pedí,P
No quiso venir al domicilio ,N
Se fue sin razón,N
Canceló solicitud,N
Actitud desagradable,N
Bueno ,P
Atento y cordial,P
No saluda y coge la peor ruta posible ,N
Atento y cordial,P
Viaje agradable,P
Nunca llegó,N
