comentario,valor,equivalente
Viaje agradable,P,2
5,NEU,1
Didnt know where to go,N,0
Jw7dnsñbf,NEU,1
"Muy bien Atento y cordial, Puntualidad, Viaje agradable, Wifi/carga de celulares, Servicio de llamadas",P,2
Cobro exageradoActitud desagradable,N,0
Cancelación de salida,N,0
Todo bien,P,2
Cancelar,N,0
Porque motivo si estoy en la puerta,N,0
Viaje agradable,P,2
Nunca llegó Nunca llegó,N,0
Atento y cordial,P,2
No llego,N,0
"Viaje agradable, Puntualidad",P,2
Excelente  ,P,2
Nunca llegó,N,0
Ya no necesito muchas gracias paso un inconveniente mil disculpas,NEU,1
Mal servicio,N,0
Cobro inadecuado,N,0
Viaje agradable,P,2
"Atento y cordial, Wifi/carga de celulares",P,2
Mil disculpas he puesto mal la referencia,NEU,1
"Deje de requerir el taxi, mil disculpas ",NEU,1
Atento y cordial,P,2
Atento y cordial,P,2
Es otra dirección,NEU,1
Atento y cordial,P,2
Puntualidad,NEU,1
Sorry bro,NEU,1
Puntualidad,NEU,1
Canceló solicitud,N,0
Nunca llegó ,N,0
........no me contesta,N,0
Atento y cordial,P,2
Ya no ,NEU,1
"Atento y cordial, Viaje agradable",P,2
No mampara Música/volumen,N,0
Bien ,P,2
Puntualidad,NEU,1
Ok ,P,2
Buena  ,P,2
Perodn me equivoqué,NEU,1
Cancelada por Call Center.,N,0
no salgo en e taxi ,NEU,1
Excelente Atento y cordial,P,2
Mala ,N,0
La operadora cancela al tener unidad asignada.,N,0
Canceló solicitud,N,0
B ,NEU,1
Nunca llegó,N,0
Cancelada por Call Center.,N,0
Gracias ,P,2
Nunca llegó,N,0
Atento y cordial,P,2
Me quedo en casa,NEU,1
5,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Bien  ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
"Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
Atento y cordial,P,2
Canceló la solicitud cuando yo ya estaba afuera,N,0
Puntualidad,NEU,1
No llega unidad ,N,0
Nunca llegó,N,0
Gracias  ,P,2
demasiado tiempo ,N,0
"Atento y cordial, Viaje agradable",P,2
"Puntualidad, Atento y cordial, Viaje agradable",P,2
Canceló solicitud,N,0
Ok ,P,2
Da tiempo a solicitudes de prueba  ,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
Atento y cordial,P,2
Ño llegó Nunca llegó,N,0
Atento y cordial,P,2
Bien Atento y cordial,P,2
Atento y cordial,P,2
Atento y cordial,P,2
Atento y cordial,P,2
Nunca llegoNunca llegó,N,0
Viaje agradable,P,2
No llegó,N,0
Puntualidad,NEU,1
priblemas,NEU,1
didn’t find my location ,N,0
Mal servicio,N,0
"Viaje agradable, Puntualidad",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Ingreso mal de la ubicación,NEU,1
No llegoNunca llegó,N,0
Viaje agradable,P,2
Atento y cordial,P,2
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
"Viaje agradable, Puntualidad, Servicio de llamadas",P,2
bBsndndndnsndn,NEU,1
Nunca llegó,N,0
Vehículo incorrecto,N,0
Exele te ,P,2
Gracias  ,P,2
Nunca llegó,N,0
Canceló solicitud,N,0
Conductor en estado etílico ,N,0
MDisculpe la cancelación ,NEU,1
Nunca llegó,N,0
Nunca llegó,N,0
Viaje agradable,P,2
Se retiró sin informar,N,0
Si llego,P,2
El tiempo de espera de la solicitud ha caducado,N,0
Tiempo ,NEU,1
No sé actualizar,NEU,1
.............,NEU,1
No saldre en este momento,NEU,1
Atento y cordial,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
graciaa  ,P,2
Canceló solicitud,N,0
Cancelada por Call Center.,N,0
No llego ,N,0
Bueno,P,2
Puntualidad,NEU,1
Atento y cordial,P,2
Canceló solicitud,N,0
Motivo?,N,0
"Atento y cordial, Viaje agradable",P,2
Xxxx,NEU,1
Que cobre lo justo,N,0
No llegoNunca llegó,N,0
Cancelo la solicitud,N,0
Disculpe,NEU,1
Muy  buena exelente taxista  ,P,2
Tomó una ruta más larga innecesariamente ,N,0
Atento y cordial,P,2
Nunca llegó,N,0
Señalé mi punto de destino y cuando había dicho al conductor que debía detenerse seguía avanzando alejándome de mi destino y así dos veces más. PésimoTrato al cliente,N,0
Canceló solicitud,N,0
No queremos,NEU,1
No llego Nunca llegó,N,0
No hay problema,P,2
"CoCanceló solicitud, Nunca llegó",N,0
Ya no deseo viajar,NEU,1
Gracias,P,2
Muy caro,N,0
"Wifi/carga de celulares, Viaje agradable, Atento y cordial, Servicio de llamadas, Puntualidad",P,2
Mal servicioNunca llegó,N,0
"Wifi/carga de celulares, Servicio de llamadas",NEU,1
"Su taxímetro estaba mal configurado pues duplicó el precio y la velocidad y actitud Velocidad excesiva, Actitud desagradable",N,0
Me tocó cancelar y me exige el pago ,N,0
Hhikmnbgrtresdxgjjuiio,NEU,1
Emergencia ,NEU,1
"ya me surgió un inconveniente y no pude yo, acercarme al taxi",NEU,1
Toque de queda,NEU,1
Me cancelo la carrera,N,0
"......,.,,,.,,.,,,,,,,,,",NEU,1
esta mal la ubicación ,NEU,1
Tomó otra ruta,N,0
Puntualidad,NEU,1
Puntualidad,NEU,1
Mal ubicacion,NEU,1
"Atento y cordial, Viaje agradable",P,2
Hhh ,NEU,1
El taxímetro tiene incompleto los dígitos en el panel donde se muestra el precio ,N,0
Viaje agradable,P,2
",,,,,,",N,0
Buen Servicio! ,P,2
no llega el taxi a tiempo,N,0
pesimo ssrvicio si solicito la unidad ds porque necesesito movilizarme de urgencia.,N,0
No es necesario,NEU,1
Puntualidad,NEU,1
no responde el saludo mal educado  ,N,0
Bueno ,P,2
No puedo salir,NEU,1
Vacío,NEU,1
"Atento y cordial, Puntualidad",P,2
Pésimo,N,0
Bueno,P,2
"Viaje agradable, Puntualidad",P,2
"Que se guíe mejor en el mapa, Que cobre lo justo, Puntualidad, Limpieza de vehículo",N,0
Mmmmpjig8,NEU,1
No pedi,NEU,1
Nunca llegó,N,0
Nunca llego Nunca llegó,N,0
Rápido el servicio  ,P,2
Yo cancele,NEU,1
Para que acepta si no va a venir,N,0
No llega en el tiempo Nunca llegó,N,0
Viaje agradable,P,2
oj ,NEU,1
Mejorar aseo del vehículo ,N,0
"Atento y cordial, Viaje agradable",P,2
Buena la atencion,P,2
Canceló solicitud,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Nunca llegó,N,0
Viaje agradable,P,2
Viaje agradable,P,2
No llego ,N,0
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Muy bien recuerda que la puntualidad es el éxito  ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Atento y cordial,P,2
Bueno bb ,P,2
"Atento y cordial, Puntualidad",P,2
Nunca llegó,N,0
Atento y cordial,P,2
perdón graciaaaaaas,NEU,1
pppopppppooooo,NEU,1
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Puntualidad,NEU,1
Atento y cordial,P,2
Siempre no  lo ocupo,NEU,1
Me confundi de taxi,NEU,1
Nunca llegó,N,0
Atento y cordial,P,2
Puntualidad,NEU,1
"Atento y cordial, Puntualidad",P,2
Wifi/carga de celulares,NEU,1
Estaba apurada,NEU,1
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Buena ,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Perdón me subí a otro taxi :( ,NEU,1
10,NEU,1
Atento y cordial,P,2
Atento y cordial,P,2
Puntualidad,NEU,1
Nunca llegó,N,0
"Atento y cordial, Viaje agradable, Puntualidad, Wifi/carga de celulares, Servicio de llamadas",P,2
Llevó otro cliente,N,0
Nunca llegó,N,0
"Todo está excelente con el señor, pero deberían especificar si es camión o camioneta ya que yo solicite una camioneta pero me llego un camión muy mal servicio de su parte el no especificar. De ahí el señor muy amable y cordial.Atento y cordial, Viaje agradable",P,2
Ningún  ,N,0
Viaje agradable,P,2
Puntualidad,NEU,1
Muy bien recuerda que la puntualidad es el éxito  ,P,2
"Atento y cordial, Viaje agradable, Puntualidad, Servicio de llamadas",P,2
.................$$:!.$,NEU,1
Nunca llegó,N,0
El ChucCanceló solicitud,N,0
Exelente ,P,2
Cancelada por Call Center.,N,0
Bien ,P,2
No llego,N,0
Actitud desagradable,N,0
Puntualidad,NEU,1
"Atento y cordial, Viaje agradable",P,2
"Viaje agradable, Atento y cordial, Puntualidad",P,2
"Atento y cordial, Viaje agradable",P,2
Canceló solicitud,N,0
A tiempo,P,2
Buena ,P,2
Nunca llegó,N,0
Muy buena  ,P,2
Ya no lo ocupo,NEU,1
Fue error,NEU,1
Estaba de apresuró aborde otra unidad,NEU,1
Ok ,P,2
Me tuvo esperando,N,0
Viaje agradable,P,2
"Atento y cordial, Viaje agradable, Puntualidad",P,2
Viaje agradable,P,2
No lo pude localizar,N,0
Gracias,P,2
Ya conseguí uno,NEU,1
Atento y cordial,P,2
Cobro una suma excesiva por su propia equivocaciónActitud desagradable,N,0
Nunca llegó ,N,0
Atento y cordial,P,2
Puntualidad,NEU,1
Cancelada por Call Center.,N,0
Buena,P,2
Nunca llegó,N,0
El señor cobra más de la cuenta me quiere cobrar 4.50 de la ciudadela de los medicos a la entrada de Ricaurte que horror Actitud desagradable,N,0
Si llego y me trajo al lugar que le pedí,P,2
No quiso venir al domicilio ,N,0
Se fue sin razón,N,0
Canceló solicitud,N,0
Actitud desagradable,N,0
Bueno ,P,2
Atento y cordial,P,2
No saluda y coge la peor ruta posible ,N,0
Atento y cordial,P,2
Viaje agradable,P,2
Nunca llegó,N,0
